heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
90.0,8119,34.0344337,-118.223237,True,18,18_241_0,68,2019-09-15 12:26:14.412257
174.0,8127,34.063122,-118.308479,True,18,18_241_0,13,2019-09-15 12:26:14.412257
105.0,8172,34.0207337,-118.159049,True,18,18_241_0,14,2019-09-15 12:26:14.412257
122.0,8557,34.0575148,-118.2703797,True,18,18_241_0,41,2019-09-15 12:26:14.412257
269.0,8133,34.0637263,-118.2882242,True,18,18_233_1,14,2019-09-15 12:26:14.412257
296.0,8170,34.053967,-118.261765,True,18,18_233_1,13,2019-09-15 12:26:14.412257
270.0,8100,34.0239677,-118.1872863,True,18,18_233_1,41,2019-09-15 12:26:14.412257
118.0,8175,34.0574468,-118.2703718,True,18,18_241_0,95,2019-09-15 12:26:14.412257
117.0,8211,34.0614523,-118.2793128,True,18,18_241_0,14,2019-09-15 12:26:14.412257
310.0,8140,34.038952,-118.239777,True,18,18_233_1,13,2019-09-15 12:26:14.412257
220.0,8105,34.006416,-118.124985,True,18,18_233_1,95,2019-09-15 12:26:14.412257
270.0,8131,34.0148889,-118.130753,True,18,18_233_1,230,2019-09-15 12:26:14.412257
