heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
217.0,8452,34.0494273,-118.251244,True,16,16_344_1,26,2019-09-15 12:29:40.493159
270.0,5862,34.0690073,-118.3180265,True,16,16_347_1,26,2019-09-15 12:29:40.493159
124.0,6043,34.048997,-118.255573,True,16,16_379_0,26,2019-09-15 12:29:40.493159
128.0,5887,34.0424968,-118.2456258,True,16,16_344_1,26,2019-09-15 12:29:40.493159
173.0,8410,34.0726092,-118.3838142,True,16,16_367_1,26,2019-09-15 12:29:40.493159
340.0,3968,34.0430978,-118.2478952,True,16,16_367_1,26,2019-09-15 12:29:40.493159
297.0,8589,34.0629287,-118.2724992,True,16,16_344_1,26,2019-09-15 12:29:40.493159
90.0,6041,34.068879,-118.3191745,True,16,16_379_0,26,2019-09-15 12:29:40.493159
220.0,6039,34.0759929,-118.37944,True,16,16_379_0,80,2019-09-15 12:29:40.493159
229.0,3954,34.067453,-118.409839,True,16,16_367_1,26,2019-09-15 12:29:40.493159
308.0,3951,34.049454,-118.245972,True,16,16_367_1,80,2019-09-15 12:29:40.493159
270.0,5674,34.069145,-118.289726,True,16,16_367_1,134,2019-09-15 12:29:40.493159
91.0,5663,34.068897,-118.287071,True,16,16_381_0,161,2019-09-15 12:29:40.493159
96.0,6083,34.068815,-118.3437008,True,16,16_378_0,26,2019-09-15 12:29:40.493159
