heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
306.0,8452,34.0503023,-118.247086,True,16,16_344_1,50,2019-09-15 12:27:19.655270
270.0,5862,34.069003,-118.3096323,True,16,16_347_1,20,2019-09-15 12:27:19.655270
118.0,6043,34.0535278,-118.261145,True,16,16_379_0,21,2019-09-15 12:27:19.655270
219.0,5887,34.0424828,-118.2482828,True,16,16_344_1,21,2019-09-15 12:27:19.655270
271.0,8410,34.0735715,-118.3837068,True,16,16_367_1,21,2019-09-15 12:27:19.655270
140.0,3968,34.0429372,-118.2484968,True,16,16_367_1,21,2019-09-15 12:27:19.655270
296.0,8589,34.0603965,-118.2667127,True,16,16_344_1,21,2019-09-15 12:27:19.655270
88.0,6041,34.0688707,-118.329956,True,16,16_379_0,21,2019-09-15 12:27:19.655270
230.0,3954,34.068442,-118.4083687,True,16,16_367_1,21,2019-09-15 12:27:19.655270
315.0,3951,34.046787,-118.248489,True,16,16_367_1,20,2019-09-15 12:27:19.655270
300.0,5674,34.067661,-118.281929,True,16,16_367_1,188,2019-09-15 12:27:19.655270
91.0,5663,34.068897,-118.287071,True,16,16_381_0,20,2019-09-15 12:27:19.655270
102.0,6083,34.0698912,-118.3512765,True,16,16_378_0,21,2019-09-15 12:27:19.655270
