heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
90.0,8119,34.0344337,-118.223237,True,18,18_241_0,280,2019-09-15 12:29:45.772843
174.0,8127,34.063122,-118.308479,True,18,18_241_0,225,2019-09-15 12:29:45.772843
102.0,8172,34.0193803,-118.1525622,True,18,18_241_0,4,2019-09-15 12:29:45.772843
116.0,8557,34.0536972,-118.2614065,True,18,18_241_0,4,2019-09-15 12:29:45.772843
270.0,8133,34.063571,-118.2988627,True,18,18_233_1,4,2019-09-15 12:29:45.772843
297.0,8170,34.05545,-118.265404,True,18,18_233_1,139,2019-09-15 12:29:45.772843
298.0,8100,34.0273325,-118.1999063,True,18,18_233_1,4,2019-09-15 12:29:45.772843
118.0,8175,34.0538362,-118.261805,True,18,18_241_0,4,2019-09-15 12:29:45.772843
114.0,8211,34.0603148,-118.2767522,True,18,18_241_0,4,2019-09-15 12:29:45.772843
307.0,8140,34.0450662,-118.2460693,True,18,18_233_1,4,2019-09-15 12:29:45.772843
220.0,8105,34.00639,-118.124985,True,18,18_233_1,139,2019-09-15 12:29:45.772843
270.0,8131,34.0186,-118.148582,True,18,18_233_1,85,2019-09-15 12:29:45.772843
