heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
90.0,8119,34.0344337,-118.223237,True,18,18_241_0,209,2019-09-15 12:28:35.266583
174.0,8127,34.063122,-118.308479,True,18,18_241_0,154,2019-09-15 12:28:35.266583
104.0,8172,34.0201215,-118.156329,True,18,18_241_0,15,2019-09-15 12:28:35.266583
118.0,8557,34.0548018,-118.2640705,True,18,18_241_0,15,2019-09-15 12:28:35.266583
271.0,8133,34.0636147,-118.2945575,True,18,18_233_1,42,2019-09-15 12:28:35.266583
297.0,8170,34.05545,-118.265404,True,18,18_233_1,68,2019-09-15 12:28:35.266583
298.0,8100,34.0253047,-118.1952813,True,18,18_233_1,69,2019-09-15 12:28:35.266583
117.0,8175,34.0549703,-118.2645312,True,18,18_241_0,15,2019-09-15 12:28:35.266583
117.0,8211,34.060629,-118.2774737,True,18,18_241_0,15,2019-09-15 12:28:35.266583
307.0,8140,34.0436718,-118.2429882,True,18,18_233_1,42,2019-09-15 12:28:35.266583
220.0,8105,34.00639,-118.124985,True,18,18_233_1,69,2019-09-15 12:28:35.266583
270.0,8131,34.0186,-118.148582,True,18,18_233_1,14,2019-09-15 12:28:35.266583
