heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
234.0,8452,34.051509,-118.2491893,True,16,16_344_1,4,2019-09-15 12:28:30.046223
269.0,5862,34.0690107,-118.314549,True,16,16_347_1,4,2019-09-15 12:28:30.046223
133.0,6043,34.0511072,-118.2589183,True,16,16_379_0,31,2019-09-15 12:28:30.046223
38.0,5887,34.0431005,-118.2474312,True,16,16_344_1,4,2019-09-15 12:28:30.046223
184.0,8410,34.072971,-118.3838237,True,16,16_367_1,31,2019-09-15 12:28:30.046223
219.0,3968,34.0425763,-118.2477167,True,16,16_367_1,3,2019-09-15 12:28:30.046223
298.0,8589,34.0618825,-118.2701263,True,16,16_344_1,3,2019-09-15 12:28:30.046223
91.0,6041,34.0688677,-118.3270507,True,16,16_379_0,3,2019-09-15 12:28:30.046223
220.0,6039,34.0759929,-118.37944,True,16,16_379_0,3,2019-09-15 12:28:30.046223
230.0,3954,34.0674562,-118.4098308,True,16,16_367_1,4,2019-09-15 12:28:30.046223
308.0,3951,34.049454,-118.245972,True,16,16_367_1,3,2019-09-15 12:28:30.046223
270.0,5674,34.069145,-118.289726,True,16,16_367_1,57,2019-09-15 12:28:30.046223
91.0,5663,34.068897,-118.287071,True,16,16_381_0,85,2019-09-15 12:28:30.046223
91.0,6083,34.068829,-118.3449853,True,16,16_378_0,3,2019-09-15 12:28:30.046223
