heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
37.0,8452,34.0489462,-118.2464813,True,16,16_344_1,47,2019-09-15 12:24:58.762957
270.0,5862,34.069035,-118.304642,True,16,16_347_1,19,2019-09-15 12:24:58.762957
116.0,6043,34.058983,-118.2634795,True,16,16_379_0,20,2019-09-15 12:24:58.762957
136.0,5887,34.0424513,-118.2482812,True,16,16_344_1,20,2019-09-15 12:24:58.762957
283.0,8410,34.0735105,-118.376961,True,16,16_367_1,20,2019-09-15 12:24:58.762957
178.0,6058,34.0764018,-118.379599,True,16,16_344_1,20,2019-09-15 12:24:58.762957
149.0,3968,34.0447915,-118.2493278,True,16,16_378_0,20,2019-09-15 12:24:58.762957
295.0,8589,34.0586588,-118.2624697,True,16,16_344_1,20,2019-09-15 12:24:58.762957
102.0,6041,34.0689218,-118.3461445,True,16,16_379_0,47,2019-09-15 12:24:58.762957
220.0,6039,34.0759929,-118.37941,True,16,16_379_0,289,2019-09-15 12:24:58.762957
271.0,3954,34.0719662,-118.4009353,True,16,16_367_1,128,2019-09-15 12:24:58.762957
30.0,3951,34.044174,-118.243935,True,16,16_367_1,74,2019-09-15 12:24:58.762957
300.0,5674,34.067661,-118.281929,True,16,16_367_1,47,2019-09-15 12:24:58.762957
90.0,5663,34.0690079,-118.291992,True,16,16_381_0,74,2019-09-15 12:24:58.762957
99.0,6083,34.0710493,-118.3584707,True,16,16_378_0,20,2019-09-15 12:24:58.762957
