heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
90.0,8119,34.0344337,-118.223237,True,18,18_241_0,139,2019-09-15 12:27:24.894763
174.0,8127,34.063122,-118.308479,True,18,18_241_0,84,2019-09-15 12:27:24.894763
220.0,8172,34.020332,-118.15757,True,18,18_241_0,26,2019-09-15 12:27:24.894763
123.0,8557,34.05639,-118.2678218,True,18,18_241_0,26,2019-09-15 12:27:24.894763
265.0,8133,34.0637177,-118.2915657,True,18,18_233_1,26,2019-09-15 12:27:24.894763
296.0,8170,34.053967,-118.261765,True,18,18_233_1,84,2019-09-15 12:27:24.894763
267.0,8100,34.0239703,-118.1921645,True,18,18_233_1,26,2019-09-15 12:27:24.894763
120.0,8175,34.0562572,-118.2675983,True,18,18_241_0,26,2019-09-15 12:27:24.894763
118.0,8211,34.06138,-118.2791533,True,18,18_241_0,56,2019-09-15 12:27:24.894763
360.0,8140,34.0415663,-118.239822,True,18,18_233_1,26,2019-09-15 12:27:24.894763
220.0,8105,34.006416,-118.124985,True,18,18_233_1,166,2019-09-15 12:27:24.894763
